lat,lon,diam_km
-15.3252,50.228999999999985,23.326
-14.1811,44.490999999999985,41.9769
-15.9074,41.905399999999986,21.2325
-15.2837,46.0702,81.0224
-16.2207,40.03880000000001,32.166
-11.9098,33.5993,44.9312
-12.3102,38.55160000000001,20.4978
-10.0695,41.16320000000002,44.0694
-10.9008,37.850300000000004,29.4691
-10.4893,35.19999999999999,25.3732
-9.61284,36.65129999999999,25.7836
-11.0306,29.748099999999994,27.1452
-7.77556,30.3125,29.4456
-7.16904,31.51910000000001,22.2626
-11.4807,26.296300000000002,99.9363
-11.928,2.5257900000000006,41.8495
-14.2496,3.598450000000014,20.7129
-11.3263,4.050060000000002,134.728
-13.2625,0.7840349999999887,24.129
-15.3401,2.079820000000012,20.7667
-14.5856,3.292900000000003,71.0169
-16.0182,2.2272000000000105,20.1496
-17.0584,1.7962599999999895,23.4177
-17.443,2.5272600000000125,28.6791
-15.48,26.182799999999986,23.3455
-18.0518,28.82679999999999,51.4451
-17.8408,40.177700000000016,30.2643
-21.8358,30.840000000000003,26.418
-16.8646,29.643399999999986,25.0103
-21.3738,33.03030000000001,119.749
-22.5795,37.24619999999999,26.0335
-17.5085,48.830600000000004,44.1073
-16.8908,57.7183,22.9457
-23.7571,41.69400000000002,28.4288
-2.9679,44.35220000000001,23.1213
-4.06462,39.28139999999999,25.6377
-12.9813,41.3571,24.6681
-16.3045,61.62270000000001,145.467
-0.290002,38.0838,22.3265
-5.88396,47.70600000000002,22.4634
-8.36184,36.796899999999994,38.4119
-1.24492,43.33410000000001,33.6176
-16.0065,0.9930840000000103,39.1135
-2.66676,33.563199999999995,55.2498
-14.1301,1.728679999999997,42.7245
-12.4009,53.14490000000001,27.4616
